"Company","Parent","Penalty","Year","Date","Agency"
"Plains All American Pipeline","Plains GP Holdings",23950000,2020,2020-10-14,"Environmental Protection Agency"
"StarKist Co.","Dongwon Group",6588000,2018,2018-03-07,"Environmental Protection Agency"
"LEHIGH SOUTHWEST CEMENT CO.(FORM:HANSON PERMANENTE)","HeidelbergCement",2550000,2015,2015-11-02,"Environmental Protection Agency"
"Titanium Metals Corporation","Berkshire Hathaway",1.4e+07,2014,2014-07-03,"Environmental Protection Agency"
"Classic Plating","Classic Plating Inc.",1616870,2012,2012-07-05,"Environmental Protection Agency"
"Asarco, LLC - Hayden","Grupo Mexico",5500000,2015,2015-12-30,"Environmental Protection Agency"
"Arizona Public Service (4 Corners)","Pinnacle West Capital",1500000,2015,2015-08-17,"Environmental Protection Agency"
"Tesoro Refining & Marketing Company","Marathon Petroleum",3533333,2016,2016-09-28,"Environmental Protection Agency"
"Mobil Cabras & SaipanTerminal",NA,2403443,2010,2010-07-27,"Environmental Protection Agency"
"Exxon Mobil Corporation","Exxon Mobil",2642198,2008,2008-08-21,"Environmental Protection Agency"
"CA PORTLAND CEMENT CO","CalPortland",1425000,2012,2012-02-09,"Environmental Protection Agency"
"Salt River Project - Coronado",NA,4950000,2008,2008-12-19,"Environmental Protection Agency"
"Tony Santillanes dba Santillanes Towing and Salvag",NA,1519818,2010,2010-07-07,"Environmental Protection Agency"
"Cemex California Cement LLC","Cemex",2e+06,2009,2009-03-10,"Environmental Protection Agency"
"Nevada Power Company","Berkshire Hathaway",10810000,2007,2007-06-14,"Environmental Protection Agency"
"Kinder Morgan Energy Partners LP","Kinder Morgan",3780559,2007,2007-07-27,"Environmental Protection Agency"
"Chevron USA Inc.","Chevron",4850000,2005,2005-06-27,"Environmental Protection Agency"
"UNIDYNAMICS",NA,1500000,2006,2006-06-27,"Environmental Protection Agency"
"LAWSON BROTHERS FACILITY",NA,2362000,2007,2007-03-21,"Environmental Protection Agency"
"SAN GABRIEL SITE / BALDWIN PARK AREA",NA,1600000,2002,2002-08-28,"Environmental Protection Agency"
"PFLUEGER PROPERTIES - PILA'A SITE",NA,2200000,2015,2015-09-16,"Environmental Protection Agency"
"Madera Glass",NA,3127000,2005,2005-06-21,"Environmental Protection Agency"
"PLATFORM IRENE",NA,3e+06,2002,2002-07-25,"Environmental Protection Agency"
"TRW VSSI INC.","ZF Friedrichshafen",11400000,2001,2001-03-07,"Environmental Protection Agency"
"UNOCAL CORPORATION","Chevron",1750000,2002,2002-02-06,"Environmental Protection Agency"
"UNIVERSITY OF HAWAII",NA,1705000,2001,2001-02-08,"Environmental Protection Agency"
"CHEVRON U.S.A., INC.","Chevron",7e+06,2000,2000-10-26,"Environmental Protection Agency"
"CYPRUS SIERRITA CORPORATION",NA,1400000,2004,2004-08-12,"Environmental Protection Agency"
"Crescent Point (Multiple Wellpads)",NA,3e+06,2022,2022-03-30,"Environmental Protection Agency"
"MPLX LP","MPLX LP",2e+06,2023,2023-04-30,"Environmental Protection Agency"
"DCP Midstream","Phillips 66",3250000,2022,2022-10-26,"Environmental Protection Agency"
"Fleur de Lis Operating, LLC Salt Creek and Linch C",NA,1900000,2021,2021-02-12,"Environmental Protection Agency"
"Stericycle","Stericycle",2600000,2021,2021-05-10,"Environmental Protection Agency"
"KERR-MCGEE GATHERING LLC","Occidental Petroleum",3500000,2023,2023-04-20,"Environmental Protection Agency"
"VAN HOOK CRUDE TERMINAL LLC","Plains GP Holdings",2400000,2020,2020-07-06,"Environmental Protection Agency"
"SINCLAIR WYOMING REFINING COMPANY","HF Sinclair Corporation",1600000,2019,2019-08-19,"Environmental Protection Agency"
"SLAWSON EXPLORATION COMPANY",NA,2100000,2017,2017-02-06,"Environmental Protection Agency"
"MEADOWLARK MIDSTREAM COMPANY, LLC",NA,2e+07,2021,2021-09-28,"Environmental Protection Agency"
"NOBLE ENERGY","Chevron",8950000,2015,2015-06-02,"Environmental Protection Agency"
"Tesoro","Marathon Petroleum",2683333,2016,2016-09-29,"Environmental Protection Agency"
"McWane, Inc.","McWane",1396887,2010,2010-09-20,"Environmental Protection Agency"
"Union Pacific Railroad Company","Union Pacific",1500000,2012,2012-04-12,"Environmental Protection Agency"
"Sinclair Oil Company","HF Sinclair Corporation",1404500,2012,2012-06-08,"Environmental Protection Agency"
"Questar Gas Management Company","Southwest Gas",3650000,2012,2012-07-03,"Environmental Protection Agency"
"Wal-Mart Stores, Inc. (National Case)","Walmart",2147265,2005,2005-09-22,"Environmental Protection Agency"
"ExxonMobil","Exxon Mobil",2145616,2005,2005-12-13,"Environmental Protection Agency"
"YELLOWSTONE MOUNTAIN CLUB",NA,1800000,2004,2004-12-29,"Environmental Protection Agency"
"ROCKY MOUNTAIN STEEL MILLS","Evraz",1460000,2003,2003-11-26,"Environmental Protection Agency"
"CONOCO, INC.","Phillips 66",3651000,2002,2002-04-30,"Environmental Protection Agency"
"BP AMOCO","BP",1e+07,2001,2001-08-29,"Environmental Protection Agency"
"W.R. GRACE & COMPANY (SITES)","Standard Industries Inc.",2821000,2002,2002-05-08,"Environmental Protection Agency"
"ALTLANTIC RICHFIELD COMPANY","BP",1800000,2021,2021-01-28,"Environmental Protection Agency"
"HollyFrontier El Dorado Refining LLC","HF Sinclair Corporation",1600000,2022,2022-06-16,"Environmental Protection Agency"
"EQUISTAR LYONDELL CHEMICALS","LyondellBasell Industries",3400000,2021,2021-10-13,"Environmental Protection Agency"
"DICO INC AND TITAN TIRE CORP",NA,11500000,2021,2021-03-01,"Environmental Protection Agency"
"BNSF Railway Company","Berkshire Hathaway",1513750,2021,2021-12-17,"Environmental Protection Agency"
"MAGELLAN PIPELINE COMPANY, LP","Oneok",3177528,2017,2017-05-17,"Environmental Protection Agency"
"DYNO NOBEL","Incitec Pivot",2900000,2020,2020-05-06,"Environmental Protection Agency"
"HOLLYFRONTIER EL DORADO REFINING LLC","HF Sinclair Corporation",4e+06,2020,2020-08-27,"Environmental Protection Agency"
"TYSON FOODS, INC","Tyson Foods",4250000,2013,2013-06-14,"Environmental Protection Agency"
"ROQUETTE AMERICA, INC","Roquette",4100000,2013,2013-01-09,"Environmental Protection Agency"
"TITAN TIRE CORP AND DICO, INC","Titan International",8552158,2014,2014-02-24,"Environmental Protection Agency"
"COFFEYVILLE RESOURCES REFINING & MARKETING, LLC","Icahn Enterprises",3094368,2013,2013-07-02,"Environmental Protection Agency"
"TEVA PHARMACEUTICALS USA INC","Teva Pharmaceutical Industries",2250000,2013,2013-05-22,"Environmental Protection Agency"
"NATIONAL COOPERATIVE REFINERY ASSOCIATION","CHS Inc.",1446678,2012,2012-06-22,"Environmental Protection Agency"
"DOE RUN RESOURCES CORPORATION","Renco",7e+06,2011,2011-12-21,"Environmental Protection Agency"
"FRONTIER EL DORADO REFINING COMPANY","HF Sinclair Corporation",1873851,2009,2009-03-26,"Environmental Protection Agency"
"MAGELLAN AMMONIA PIPELINE, LP","Oneok",3650000,2009,2009-09-30,"Environmental Protection Agency"
"WESTAR ENERGY, INC","Evergy Inc.",3e+06,2010,2010-03-26,"Environmental Protection Agency"
"CARGILL, INC","Cargill",2707693,2006,2006-03-03,"Environmental Protection Agency"
"NATIONAL COOPERATIVE REFINERY ASSOCIATION","CHS Inc.",1850000,2003,2003-12-29,"Environmental Protection Agency"
"KOCH PIPELINE COMPANY","Koch Industries",1450000,2003,2003-09-24,"Environmental Protection Agency"
"MAGELLAN PIPELINE FKA WILLIAMS PIPELINE (National Case)(Lead)","Oneok",5174107,2008,2008-09-04,"Environmental Protection Agency"
"TRUE MANUFACTURING, CO",NA,3400000,2004,2004-06-29,"Environmental Protection Agency"
"NUCOR CORPORATION","Nucor",3079123,2001,2001-06-20,"Environmental Protection Agency"
"IOWA BEEF PACKERS","Tyson Foods",9350000,2009,2009-08-20,"Environmental Protection Agency"
"KOCH INDUSTRIES, INC.","Koch Industries",1e+07,2000,2000-01-12,"Environmental Protection Agency"
"MATADOR PRODUCTION COMPANY",NA,2400000,2023,2023-05-15,"Environmental Protection Agency"
"MEWBOURNE OIL COMPANY",NA,5500000,2023,2023-10-05,"Environmental Protection Agency"
"EVERGREEN PACKAGING, LLC","Rank Group",2356973,2023,2023-09-27,"Environmental Protection Agency"
"United Parcel Service, Inc.","United Parcel Service",5300000,2022,2022-10-17,"Environmental Protection Agency"
"United Parcel Service","United Parcel Service",3800000,2021,2021-06-08,"Environmental Protection Agency"
"WTG Gas Processing (R6 Lead)-8 Facilities TX NM-RMP Consent Decree-FY2022","West Texas Gas",3125000,2022,2022-02-03,"Environmental Protection Agency"
"Packaging Corporation of America","Packaging Corporation of America",2500000,2022,2022-12-29,"Environmental Protection Agency"
"Firestone Polymers, LLC","Bridgestone",3350000,2022,2022-02-08,"Environmental Protection Agency"
"Omni Energy Services Corp",NA,2594010,2018,2018-10-18,"Environmental Protection Agency"
"Cris January St.",NA,1900000,2022,2022-09-26,"Environmental Protection Agency"
"Anadarko Petroleum","Occidental Petroleum",1383164,2017,2017-12-05,"Environmental Protection Agency"
"Formosa Petrochemical Point Comfort","Formosa Plastics",2850000,2022,2022-01-11,"Environmental Protection Agency"
"Vopak North America-Deer Park Terminal-Air Toxics Consent Decree (HQ/R6)","Vopak",2500000,2017,2017-07-31,"Environmental Protection Agency"
"E.I. DuPont de Nemours and Company","DuPont de Nemours",3100000,2018,2018-09-07,"Environmental Protection Agency"
"Rohm and Haas Texas Incorporated","Dow Inc.",1900000,2017,2017-01-23,"Environmental Protection Agency"
"Sunoco/Mid-Valley Pipeline","Energy Transfer",5436274,2019,2019-05-24,"Environmental Protection Agency"
"Georgia-Pacific LLC","Koch Industries",2400000,2020,2020-06-05,"Environmental Protection Agency"
"Whole Foods Market Rocky Mountain/Southwest LP","Amazon.com",2685160,2016,2016-09-19,"Environmental Protection Agency"
"Churchill Downs Louisiana Horseracing Co., LLC","Churchill Downs Inc.",2790000,2021,2021-10-05,"Environmental Protection Agency"
"Delek Logistics Operating, LLC","Delek",2255460,2019,2019-11-08,"Environmental Protection Agency"
"Union Carbide Corp/Dow Chemical-4 Sites-CAA Consent Decree (HQ Lead)","Dow Inc.",3e+06,2021,2021-06-10,"Environmental Protection Agency"
"Exxon Mobil - Torbert, LA","Exxon Mobil",1437120,2014,2014-10-17,"Environmental Protection Agency"
"Honorable Ignacia S. Moreno","Superior Crude Gathering",1610000,2014,2014-12-16,"Environmental Protection Agency"
"Exxon Mobil - Mayflower, AR","Exxon Mobil",4190000,2015,2015-08-12,"Environmental Protection Agency"
"ATP OIL & GAS CORPORATION",NA,3.9e+07,2015,2015-12-29,"Environmental Protection Agency"
"BP Exploration & Production Inc. (Gulf of Mexico Oil Spill) (National Case) (Lead)","BP",3372250000,2016,2016-04-04,"Environmental Protection Agency"
"Agrifos",NA,2400000,2011,2011-12-07,"Environmental Protection Agency"
"E.I. du Pont de Nemours and Company","DuPont de Nemours",3350000,2022,2022-01-28,"Environmental Protection Agency"
"ExxonMobil Baytown Chemical Company","Exxon Mobil",5072000,2018,2018-06-06,"Environmental Protection Agency"
"E.I. du Pont de Nemours and Company","DuPont de Nemours",3420000,2020,2020-09-24,"Environmental Protection Agency"
"Shell Oil Deer Park (National Case)(HQ)","Petroleos Mexicanos (Pemex)",3800000,2014,2014-06-06,"Environmental Protection Agency"
"Explorer Piepline","Explorer Pipeline Company",3300000,2009,2009-02-23,"Environmental Protection Agency"
"PCS Nitrogen Fertilizer, L.P. (National Case)(Lead)","Nutrien Ltd.",2968750,2015,2015-02-26,"Environmental Protection Agency"
"Valero Refining Texas","Valero Energy",1950000,2008,2008-08-07,"Environmental Protection Agency"
"Citgo Petroleum Corporation","PDVSA (Petroleos de Venezuela S.A.)",9e+07,2015,2015-12-23,"Environmental Protection Agency"
"Alon USA","Delek",1956250,2019,2019-06-05,"Environmental Protection Agency"
"Murphy Oil USA, Inc., Meraux LA.","Valero Energy",2382812,2011,2011-02-16,"Environmental Protection Agency"
"ARKLA Disposal Services, Inc. (CCS Energy Services)",NA,2500000,2014,2014-10-10,"Environmental Protection Agency"
"San Antonio Water Systems",NA,2600000,2013,2013-10-15,"Environmental Protection Agency"
"Mahard Egg Farm","Cal-Maine Foods",2033001,2011,2011-08-11,"Environmental Protection Agency"
"Air Products, L.P.","Air Products & Chemicals",1485000,2010,2010-11-01,"Environmental Protection Agency"
"BP Texas City","Marathon Petroleum",1.5e+07,2010,2010-12-30,"Environmental Protection Agency"
"Mosaic Fertilizer","Mosaic Co.",2400000,2009,2009-12-24,"Environmental Protection Agency"
"Formosa Plastics-TX LA-LDAR Multi Media Consent Decree (R6 Lead)","Formosa Plastics",2800000,2013,2013-03-13,"Environmental Protection Agency"
"BP North America","BP",1.8e+07,2009,2009-09-18,"Environmental Protection Agency"
"McWane","McWane",1392388,2006,2006-09-29,"Environmental Protection Agency"
"Shintech, Inc.","Shin-Etsu Chemical",7285004,2009,2009-03-06,"Environmental Protection Agency"
"Rineco Chemical Co.","Rineco Chemical",1350000,2012,2012-01-03,"Environmental Protection Agency"
"Mosaic Phosphates, Inc.","Mosaic Co.",3900000,2016,2016-06-24,"Environmental Protection Agency"
"Plains Pipeline","Plains GP Holdings",3e+06,2010,2010-09-20,"Environmental Protection Agency"
"Louisiana Generating","Macquarie",3500000,2013,2013-03-05,"Environmental Protection Agency"
"Total Petrochemicals USA, Inc.","TotalEnergies SE",2980000,2013,2013-11-08,"Environmental Protection Agency"
"Innophos (Rhodia Chemical Co.)","One Rock Capital Partners",1398000,2017,2017-10-03,"Environmental Protection Agency"
"Equistar Chemicals","LyondellBasell Industries",7595800,2008,2008-01-26,"Environmental Protection Agency"
"Premcor-Port Arthur","Valero Energy",2985000,2007,2007-11-20,"Environmental Protection Agency"
"ConocoPhillips","Phillips 66",1800000,2008,2008-07-10,"Environmental Protection Agency"
"RUSSELL OIL COMPANY","Russell Oil",81277000,2005,2005-04-19,"Environmental Protection Agency"
"TE Products Pipeline Company","Enterprise Products Partners",2865000,2007,2007-10-11,"Environmental Protection Agency"
"PCS Nitrogen Fertilizer LP","Nutrien Ltd.",1510024,2022,2022-10-17,"Environmental Protection Agency"
"Borden Chemical, Inc",NA,3e+06,2002,2002-10-22,"Environmental Protection Agency"
"Western Refining","Marathon Petroleum",1450000,2011,2011-09-02,"Environmental Protection Agency"
"CHEVRON PHILLIPS CHEMICAL COMPANY","Chevron Phillips Chemical",3e+06,2004,2004-12-30,"Environmental Protection Agency"
"CONOCO INCORPORATED","Phillips 66",2999000,2002,2002-02-20,"Environmental Protection Agency"
"NAVAJO REFINING COMPANY","HF Sinclair Corporation",2115000,2002,2002-03-05,"Environmental Protection Agency"
"ExxonMobil","Exxon Mobil",6155902,2005,2005-12-13,"Environmental Protection Agency"
